단지고유번호,필지고유번호,시도,자치구,법정동,지번,주소,대표단지명,단지명_공시가격,단지명_건축물대장,단지명_도로명주소,단지종류코드,단지종류명,동수,세대수,사용승인일,원천데이터
11650100002760,1165010800114690004,서울특별시,서초구,서초동,1469-4,서울특별시 서초구 서초동 1469-4,진성그린아파트,진성그린,진성그린아파트,진성그린아파트,1,아파트,1,12,2002-10-16,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
11650100002735,1165010800113150000,서울특별시,서초구,서초동,1315,서울특별시 서초구 서초동 1315,진흥아파트,진흥아파트,진흥아파트,진흥아파트,1,아파트,7,615,1979-08-22,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
11650100002739,1165010800114440003,서울특별시,서초구,서초동,1444-3,서울특별시 서초구 서초동 1444-3,초원현대아파트,초원현대,초원현대아파트,초원현대아파트,1,아파트,1,48,1998-07-07,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
11650100002741,1165010800114950002,서울특별시,서초구,서초동,1495-2,서울특별시 서초구 서초동 1495-2,트라움하우스2,트라움하우스2,트라움하우스2,트라움하우스2,1,아파트,1,19,1996-04-12,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
11650100002742,1165010800114960024,서울특별시,서초구,서초동,1496-24,서울특별시 서초구 서초동 1496-24,트라움하우스3,트라움하우스3,트라움하우스3,트라움하우스3,1,아파트,1,19,2002-02-04,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
11650100256986,1165010800116250007,서울특별시,서초구,서초동,1625-7,서울특별시 서초구 서초동 1625-7,티에스프리우스아파트,티에스프리우스,티에스프리우스아파트,티에스프리우스아파트,1,아파트,1,18,2004-08-12,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
11650100249357,1165010800113380001,서울특별시,서초구,서초동,1338-1,서울특별시 서초구 서초동 1338-1,풍림아이원플러스,풍림아이원플러스,풍림아이원플러스,풍림아이원플러스,1,아파트,1,200,2004-04-23,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
11650120035915,1165010800115060042,서울특별시,서초구,서초동,1506-42,서울특별시 서초구 서초동 1506-42,프레스턴-2(1506-42),프레스턴-2(1506-42),,,1,아파트,1,12,2006-04-14,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
11650120181120,1165010800113630025,서울특별시,서초구,서초동,1363-25,서울특별시 서초구 서초동 1363-25,한라비발디스튜디오193,한라비발디스튜디오193,한라비발디스튜디오193,한라비발디스튜디오193,1,아파트,1,149,2013-07-08,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
11650100002762,1165010800115110009,서울특별시,서초구,서초동,1511-9,서울특별시 서초구 서초동 1511-9,한성아파트,한성,한성아파트,한성아파트,1,아파트,1,19,2003-01-24,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
11650100249359,1165010800114270007,서울특별시,서초구,서초동,1427-7,서울특별시 서초구 서초동 1427-7,한승 미메이드,한승미메이드,한승 미메이드,한승 미메이드,1,아파트,2,18,2004-08-12,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
11650100256891,1165010800114280001,서울특별시,서초구,서초동,1428-1,서울특별시 서초구 서초동 1428-1,햄프턴코트,햄프턴코트,,,1,아파트,1,19,2004-12-27,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
11650120373908,1165010800116330004,서울특별시,서초구,서초동,1633-4,서울특별시 서초구 서초동 1633-4,헤센 파크힐,헤센파크힐,헤센 파크힐,헤센 파크힐,1,아파트,1,102,2018-07-30,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
11650120029515,1165010800116420004,서울특별시,서초구,서초동,1642-4,서울특별시 서초구 서초동 1642-4,현대빌리지,현대빌리지,,,1,아파트,1,13,2005-10-17,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
11650100002750,1165010800114950001,서울특별시,서초구,서초동,1495-1,서울특별시 서초구 서초동 1495-1,현대서초빌라트,현대빌라트,현대서초빌라트,현대서초빌라트,1,아파트,1,19,1994-06-14,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
11650100002753,1165010800114970018,서울특별시,서초구,서초동,1497-18,서울특별시 서초구 서초동 1497-18,현대서초빌라트,현대서초빌라트,현대서초빌라트,현대서초빌라트,1,아파트,1,11,1997-05-06,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
11650100249354,1165010800113160015,서울특별시,서초구,서초동,1316-15,서울특별시 서초구 서초동 1316-15,현대성우주상복합아파트,현대성우주상복합아파트,현대성우주상복합아파트,현대성우주상복합아파트,1,아파트,1,138,2002-11-28,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
11650100051076,1165010800114460011,서울특별시,서초구,서초동,1446-11,서울특별시 서초구 서초동 1446-11,현대슈퍼빌,현대슈퍼빌,현대슈퍼빌,현대슈퍼빌,1,아파트,4,645,2003-10-13,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
11650100002754,1165010800113460000,서울특별시,서초구,서초동,1346,서울특별시 서초구 서초동 1346,현대아파트,현대아파트,현대아파트,현대아파트,1,아파트,5,413,1989-12-18,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
11650100053291,1165010800115420006,서울특별시,서초구,서초동,1542-6,서울특별시 서초구 서초동 1542-6,현대이에스에이2아파트,현대ESA2,현대이에스에이2아파트,현대이에스에이2아파트,1,아파트,2,174,2003-01-29,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
