단지고유번호,필지고유번호,시도,시군구,일반구,읍면동,지번,주소,대표단지명,단지명_공시가격,단지명_건축물대장,단지명_도로명주소,단지종류코드,단지종류명,동수,세대수,사용승인일,원천데이터
28177100005574,2817710500112110031,인천광역시,미추홀구,,주안동,1211-31,인천광역시 미추홀구 주안동 1211-31,경일아파트,경일,,경일아파트,1,아파트,1,50,1988-12-01,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
28177100005611,2817710500112500000,인천광역시,미추홀구,,주안동,1250,인천광역시 미추홀구 주안동 1250,쌍용주안아파트,쌍용주안,,쌍용주안아파트,1,아파트,9,768,1984-11-26,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
28177100005628,2817710500112860000,인천광역시,미추홀구,,주안동,1286,인천광역시 미추홀구 주안동 1286,태평아파트,태평,,태평아파트,1,아파트,3,252,1989-10-25,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
28177100005583,2817710500112980000,인천광역시,미추홀구,,주안동,1298,인천광역시 미추홀구 주안동 1298,한덕주상복합아파트,금양아파트,한덕주상복합아파트,한덕주상복합아파트,1,아파트,1,187,1998-03-12,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
28177100005587,2817710500114210041,인천광역시,미추홀구,,주안동,1421-41,인천광역시 미추홀구 주안동 1421-41,대일개나리,대일개나리,,,1,아파트,1,45,1984-04-25,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
28177120399422,2817710500114220000,인천광역시,미추홀구,,주안동,1422,인천광역시 미추홀구 주안동 1422,골든스테이트,골든스테이트,골든스테이트,,1,아파트,1,120,2019-12-26,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
28177100448858,2817710500114220002,인천광역시,미추홀구,,주안동,1422-2,인천광역시 미추홀구 주안동 1422-2,호산아파트,호산,호산아파트,호산아파트,1,아파트,1,19,1994-09-16,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
28177100005608,2817710500114410000,인천광역시,미추홀구,,주안동,1441,인천광역시 미추홀구 주안동 1441,남광로얄아파트,신로얄,,남광로얄아파트,1,아파트,3,125,1981-05-21,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
28177100005584,2817710500114430000,인천광역시,미추홀구,,주안동,1443,인천광역시 미추홀구 주안동 1443,남광로얄아파트,남광로얄,,남광로얄아파트,1,아파트,13,474,1980-02-21,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
28177100005621,2817710500114650036,인천광역시,미추홀구,,주안동,1465-36,인천광역시 미추홀구 주안동 1465-36,욱일,욱일,,,1,아파트,3,60,1982-09-16,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
28177100005580,2817710500114660003,인천광역시,미추홀구,,주안동,1466-3,인천광역시 미추홀구 주안동 1466-3,광성아파트,광성,,광성아파트,1,아파트,4,160,1984-09-27,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
28177100005626,2817710500114660013,인천광역시,미추홀구,,주안동,1466-13,인천광역시 미추홀구 주안동 1466-13,청운아파트,청운,,청운아파트,1,아파트,2,45,1983-12-17,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
28177100005594,2817710500114670001,인천광역시,미추홀구,,주안동,1467-1,인천광역시 미추홀구 주안동 1467-1,미성,미성,,,1,아파트,1,45,1984-06-13,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
28177100005632,2817710500114870004,인천광역시,미추홀구,,주안동,1487-4,인천광역시 미추홀구 주안동 1487-4,현광아파트,현광,현광아파트,현광아파트,1,아파트,1,90,1987-10-19,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
28177100005576,2817710500114870007,인천광역시,미추홀구,,주안동,1487-7,인천광역시 미추홀구 주안동 1487-7,광명아파트,광명8,,광명아파트,1,아파트,6,462,1988-07-19,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
28177100050173,2817710500114870008,인천광역시,미추홀구,,주안동,1487-8,인천광역시 미추홀구 주안동 1487-8,광명아파트,광명9,광명아파트,광명아파트,1,아파트,1,48,1988-10-29,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
28177100005585,2817710500114890013,인천광역시,미추홀구,,주안동,1489-13,인천광역시 미추홀구 주안동 1489-13,남부아주,남부아주,,,1,아파트,1,64,1984-10-15,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
28177100005572,2817710500114900003,인천광역시,미추홀구,,주안동,1490-3,인천광역시 미추홀구 주안동 1490-3,경민,경민,,,1,아파트,2,60,1984-09-01,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
28177100005615,2817710500114910003,인천광역시,미추홀구,,주안동,1491-3,인천광역시 미추홀구 주안동 1491-3,연흥아파트,연흥,,연흥아파트,1,아파트,5,235,1985-12-03,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
28177100005612,2817710500114930001,인천광역시,미추홀구,,주안동,1493-1,인천광역시 미추홀구 주안동 1493-1,가동,아주,,가동,1,아파트,2,70,1983-09-14,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
28177100005617,2817710500115030001,인천광역시,미추홀구,,주안동,1503-1,인천광역시 미추홀구 주안동 1503-1,영동,영동,,,1,아파트,2,70,1984-11-03,한국부동산원_공동주택 단지 식별정보_기본정보_20250918
