공고번호,시도,자치구,시군구,법정동,대표단지명,세대수,상태,입주예정월,출처
2020000304,경기도,,수원권선구,,수원호매실13단지 A-4BL,20,입주예정,2020-05,청약홈 분양정보 오픈API
2020000303,경기도,,수원권선구,,수원호매실14단지 B-3BL,110,입주예정,2020-05,청약홈 분양정보 오픈API
2020000302,경기도,,수원권선구,,수원호매실15단지 B-7BL,280,입주예정,2020-05,청약홈 분양정보 오픈API
2020000301,경기도,,수원권선구,,수원호매실5단지 B-6BL,30,입주예정,2020-05,청약홈 분양정보 오픈API
2020000299,경기도,,김포시,,김포한강센트럴블루힐(Ac-05),410,입주예정,2021-12,청약홈 분양정보 오픈API
2020000292,전라남도,,순천시,용당동,한양수자인 디에스티지,1252,입주예정,2023-03,청약홈 분양정보 오픈API
2020000286,인천광역시,,인천부평구,,힐스테이트 부평,837,입주예정,2023-06,청약홈 분양정보 오픈API
2020000282,경기도,,양주시,고암동,양주덕정2 5블록 행복주택 추가 (양주),106,입주예정,2020-09,청약홈 분양정보 오픈API
2020000281,충청남도,,보령시,웅천읍,보령웅천 행복주택 추가,53,입주예정,2020-09,청약홈 분양정보 오픈API
2020000276,인천광역시,,인천연수구,,힐스테이트 송도 더스카이,1205,입주예정,2024-02,청약홈 분양정보 오픈API
2020000274,강원도,,원주시,,원주 세경3차 아파트,349,입주예정,2020-06,청약홈 분양정보 오픈API
2020000260,경기도,,양주시,장흥면,송추 북한산 경남아너스빌,604,입주예정,2022-10,청약홈 분양정보 오픈API
2020000238,대구광역시,,대구남구,,봉덕2차 화성파크드림,403,입주예정,2022-12,청약홈 분양정보 오픈API
2020000166,경기도,,파주시,파주읍,파주연풍 양우내안애 에코하임,165,입주예정,2022-09,청약홈 분양정보 오픈API
2020000279,경기도,,안성시,아양동,안성아양 A2-1블록 행복주택 추가 (안성),456,입주예정,2020-08,청약홈 분양정보 오픈API
2020000270,경기도,,화성시,,화성동탄(2) A40BL 10년공공임대리츠,310,입주예정,2020-07,청약홈 분양정보 오픈API
2020000278,인천광역시,,인천남동구,,간석 한신더휴 행복주택(인천),9,입주예정,2020-07,청약홈 분양정보 오픈API
2020000247,부산광역시,,부산해운대구,중동,쌍용 더 플래티넘 해운대,152,입주예정,2022-02,청약홈 분양정보 오픈API
2020000245,경기도,,양주시,,"양주옥정 A-20(2), A-20(3) 10년공공임대주택리츠 잔여세대 입주자 및 예비입주자 모집공고",340,입주예정,2020-05,청약홈 분양정보 오픈API
2020000242,경기도,,파주시,법원읍,파주법원 행복주택 추가,168,입주예정,2020-07,청약홈 분양정보 오픈API
2020000241,충천남도,,아산시,배방읍,아산배방2 A-12블록 행복주택 추가모집,105,입주예정,2020-06,청약홈 분양정보 오픈API
2020000237,충청남도,,공주시,,공주영우2단지 10년임대,7,입주예정,2020-03,청약홈 분양정보 오픈API
2020000232,인천광역시,,인천연수구,,송도 베르디움퍼스트(RC-4) 외국인임대 분양전환 아파트,148,입주예정,2020-04,청약홈 분양정보 오픈API
